Lat,Lon,Titel,Cases,Deaths,Recovered
6.9257036,79.902757,Colombo,29,1,9
7.4807041,80.3227606,Gampaha,10,1,0
6.0559758,80.1769773,Puttalam,15,0,0
7.9341968,80.9781588,Kalutara,18,0,0
7.4807041,80.3227606,Ratnapura,3,0,0
6.9257036,79.902757,Kurunegala,1,0,0
6.9257036,79.902757,Matara,1,0,0
6.0559758,80.1769773,Galle,1,0,0
6.0559758,80.1769773,Kegalle,1,0,0
6.9257036,79.902757,Batticaloa,1,0,0
7.9341968,80.9781588,Badulla,1,0,0
7.9341968,80.9781588,Kandy,1,0,0
7.9341968,80.9781588,Jaffna,1,0,0
6.9257036,79.902757,Quarantine-Centers,34,0,0
6.9257036,79.902757,Foreigners,3,0,0
